Daily_Period,TMA_Daily,
10/8/2023,10,
10/9/2023,10,
10/10/2023,10,
10/11/2023,10,
10/12/2023,10,
10/13/2023,10,
10/14/2023,10,
10/15/2023,10,
10/16/2023,10,
10/17/2023,10,
10/18/2023,10,
10/19/2023,10,
10/20/2023,14.58333333,
10/21/2023,11.66666667,
10/22/2023,10,
10/23/2023,10,
10/24/2023,10.83333333,
10/25/2023,10,
10/26/2023,10,
10/27/2023,10,
10/28/2023,10,
10/29/2023,10,
10/30/2023,10,
10/31/2023,10,
11/1/2023,10.41666667,
11/2/2023,17.08333333,
11/3/2023,12.08333333,
11/4/2023,20,
11/5/2023,26.25,
11/6/2023,10,
11/7/2023,10,
11/8/2023,10,
11/9/2023,10,
11/10/2023,10,
11/11/2023,12.08333333,
11/12/2023,10.41666667,
11/13/2023,10,
11/14/2023,21.73913043,
11/15/2023,19.16666667,
11/16/2023,23.04347826,
11/17/2023,22.08333333,
11/18/2023,16.25,
11/19/2023,10,
11/20/2023,12.91666667,
11/21/2023,15.83333333,
11/22/2023,19.16666667,
11/23/2023,16.25,
11/24/2023,10,
11/25/2023,10,
11/26/2023,10.41666667,
11/27/2023,10.41666667,
11/28/2023,21.25,
11/29/2023,29.13043478,
11/30/2023,32.5,
12/1/2023,28.75,
12/2/2023,22.91666667,
12/3/2023,19.58333333,
12/4/2023,24.16666667,
12/5/2023,22.08333333,
12/6/2023,21.66666667,
12/7/2023,14.16666667,
12/8/2023,12.91666667,
12/9/2023,14.58333333,
12/10/2023,15,
12/11/2023,13.75,
12/12/2023,14.16666667,
12/13/2023,10,
12/14/2023,10,
12/15/2023,10,
12/16/2023,10,
12/17/2023,10,
12/18/2023,10,
12/19/2023,10,
12/20/2023,10,
12/21/2023,10,
12/22/2023,10,
12/23/2023,10,
12/24/2023,12.08333333,
12/25/2023,15.41666667,
12/26/2023,13.33333333,
12/27/2023,16.25,
12/28/2023,13.33333333,
12/29/2023,10,
12/30/2023,19.16666667,
12/31/2023,16.66666667,
1/1/2024,16.66666667,
1/2/2024,23.75,
1/3/2024,21.25,
1/4/2024,37.82608696,
1/5/2024,30.83333333,
1/6/2024,24.34782609,
1/7/2024,42.5,
1/8/2024,45.41666667,
1/9/2024,37.91666667,
1/10/2024,35,
1/11/2024,32.08333333,
1/12/2024,26.66666667,
1/13/2024,22.91666667,
1/14/2024,21.25,
1/15/2024,20,
1/16/2024,21.66666667,
1/17/2024,20,
1/18/2024,20,
1/19/2024,28.33333333,
1/20/2024,20,
1/21/2024,20,
1/22/2024,20,
1/23/2024,27.5,
1/24/2024,20,
1/25/2024,16.25,
1/26/2024,17.91666667,
1/27/2024,22.91666667,
1/28/2024,20,
1/29/2024,20,
1/30/2024,20,
1/31/2024,35,
2/1/2024,37.08333333,
2/2/2024,29.58333333,
2/3/2024,34.58333333,
2/4/2024,30,
2/5/2024,30.41666667,
2/6/2024,27.08333333,
2/7/2024,20.83333333,
2/8/2024,20,
2/9/2024,27.08333333,
2/10/2024,33.33333333,
2/11/2024,27.5,
2/12/2024,21.25,
2/13/2024,20,
2/14/2024,33.75,
2/15/2024,26.66666667,
2/16/2024,30.83333333,
2/17/2024,38.75,
2/18/2024,31.25,
2/19/2024,32.91666667,
2/20/2024,34.58333333,
2/21/2024,34.16666667,
2/22/2024,30,
2/23/2024,24.58333333,
2/24/2024,20,
2/25/2024,20.41666667,
2/26/2024,20,
2/27/2024,27.5,
2/28/2024,20.41666667,
2/29/2024,22.5,
3/1/2024,27.08333333,
3/2/2024,32.08333333,
3/3/2024,31.25,
3/4/2024,24.16666667,
3/5/2024,20,
3/6/2024,20.83333333,
3/7/2024,21.25,
3/8/2024,27.91666667,
3/9/2024,36.66666667,
3/10/2024,25.83333333,
3/11/2024,20.83333333,
3/12/2024,30.41666667,
3/13/2024,31.66666667,
3/14/2024,58.69565217,
3/15/2024,52.5,
3/16/2024,51.66666667,
3/17/2024,49.58333333,
3/18/2024,41.66666667,
3/19/2024,38.75,
3/20/2024,30,
3/21/2024,27.08333333,
3/22/2024,20,
3/23/2024,20.83333333,
3/24/2024,20.41666667,
3/25/2024,27.91666667,
3/26/2024,32.91666667,
3/27/2024,38.33333333,
3/28/2024,31.66666667,
3/29/2024,40,
3/30/2024,35.83333333,
3/31/2024,26.66666667,
4/1/2024,28.75,
4/2/2024,26.25,
4/3/2024,22.5,
4/4/2024,24.16666667,
4/5/2024,34.09090909,
4/6/2024,15.41666667,
4/7/2024,10,
4/8/2024,10,
4/9/2024,10,
4/10/2024,10,
4/11/2024,12.91666667,
4/12/2024,12.5,
4/13/2024,10.83333333,
4/14/2024,21.66666667,
4/15/2024,10,
4/16/2024,10,
4/17/2024,10,
4/18/2024,15,
4/19/2024,14.16666667,
4/20/2024,10.41666667,
4/21/2024,10,
4/22/2024,11.25,
4/23/2024,10,
4/24/2024,10,
4/25/2024,16.66666667,
4/26/2024,15.41666667,
4/27/2024,10,
4/28/2024,10.41666667,
4/29/2024,10,
4/30/2024,10,
5/1/2024,19.58333333,
5/2/2024,33.33333333,
5/3/2024,21.25,
5/4/2024,27.08333333,
5/5/2024,20,
5/6/2024,15.41666667,
5/7/2024,10,
5/8/2024,15,
5/9/2024,10,
5/10/2024,10,
5/11/2024,10,
5/12/2024,11.66666667,
5/13/2024,11.25,
5/14/2024,15,
5/15/2024,13.33333333,
5/16/2024,12.91666667,
5/17/2024,13.33333333,
5/18/2024,13.33333333,
5/19/2024,14.16666667,
5/20/2024,12.91666667,
5/21/2024,10,
5/22/2024,11.66666667,
5/23/2024,20,
5/24/2024,38.63636364,
5/25/2024,43.75,
5/26/2024,23.75,
5/27/2024,20,
5/28/2024,20,
5/29/2024,20,
5/30/2024,15.41666667,
5/31/2024,15.41666667,
6/1/2024,10,
6/2/2024,13.33333333,
6/3/2024,16.25,
6/4/2024,10.83333333,
6/5/2024,10,
6/6/2024,10,
6/7/2024,10,
6/8/2024,10,
6/9/2024,10,
6/10/2024,10,
6/11/2024,14.58333333,
6/12/2024,15.41666667,
6/13/2024,13.75,
6/14/2024,10,
6/15/2024,10,
6/16/2024,10,
6/17/2024,10,
6/18/2024,10,
6/19/2024,10,
6/20/2024,10,
6/21/2024,10,
6/22/2024,10,
6/23/2024,10,
6/24/2024,10,
6/25/2024,14.16666667,
6/26/2024,12.91666667,
6/27/2024,10,
6/28/2024,10,
6/29/2024,28.75,
6/30/2024,20.83333333,
7/1/2024,21.25,
7/2/2024,30,
7/3/2024,20,
7/4/2024,11.25,
7/5/2024,10,
7/6/2024,20,
7/7/2024,12.91666667,
7/8/2024,13.75,
7/9/2024,22.08333333,
7/10/2024,10,
7/11/2024,10,
7/12/2024,10,
7/13/2024,10,
7/14/2024,10,
7/15/2024,10,
7/16/2024,10,
7/17/2024,10,
7/18/2024,10,
7/19/2024,10,
7/20/2024,10,
7/21/2024,10,
7/22/2024,10,
7/23/2024,10,
7/24/2024,10,
7/25/2024,10,
7/26/2024,10,
7/27/2024,10,
7/28/2024,10,
7/29/2024,10,
7/30/2024,10,
7/31/2024,10,
8/1/2024,20.41666667,
8/2/2024,16.66666667,
8/3/2024,19.16666667,
8/4/2024,10,
8/5/2024,10,
8/6/2024,10,
8/7/2024,10,
8/8/2024,10,
8/9/2024,10,
8/10/2024,10,
8/11/2024,10,
8/12/2024,10,
8/13/2024,10,
8/14/2024,10,
8/15/2024,10,
8/16/2024,10.83333333,
8/17/2024,10,
8/18/2024,10,
8/19/2024,10,
8/20/2024,10,
8/21/2024,10,
8/22/2024,10,
8/23/2024,10,
8/24/2024,10,
8/25/2024,10,
8/26/2024,10,
8/27/2024,10,
8/28/2024,10,
8/29/2024,10,
8/30/2024,10,
8/31/2024,10,
9/1/2024,10,
9/2/2024,10.83333333,
9/3/2024,10,
9/4/2024,10,
9/5/2024,10,
9/6/2024,10,
9/7/2024,10,
9/8/2024,10,
9/9/2024,13.33333333,
9/10/2024,20,
9/11/2024,19.16666667,
9/12/2024,12.5,
9/13/2024,10,
9/14/2024,10,
9/15/2024,10,
9/16/2024,10,
9/17/2024,10,
9/18/2024,10,
9/19/2024,10,
9/20/2024,10,
9/21/2024,10,
9/22/2024,10,
9/23/2024,10,
9/24/2024,10,
9/25/2024,13.33333333,
9/26/2024,12.91666667,
9/27/2024,10,
9/28/2024,10,
9/29/2024,12.5,
9/30/2024,14.16666667,
10/1/2024,10,
10/2/2024,10,
10/3/2024,10,
10/4/2024,21.25,
10/5/2024,17.5,
10/6/2024,13.33333333,
10/7/2024,10,
10/8/2024,10,
10/9/2024,10,
10/10/2024,10,
10/11/2024,10,
10/12/2024,10,
10/13/2024,10,
10/14/2024,10.83333333,
10/15/2024,10,
10/16/2024,10,
10/17/2024,10,
10/18/2024,10,
10/19/2024,10,
10/20/2024,10,
10/21/2024,10,
10/22/2024,10,
10/23/2024,10,
10/24/2024,10,
10/25/2024,10,
10/26/2024,10,
10/27/2024,10,
10/28/2024,10,
10/29/2024,10,
10/30/2024,10,
10/31/2024,10,
11/1/2024,10,
11/2/2024,11.66666667,
11/3/2024,16.25,
11/4/2024,17.08333333,
11/5/2024,25.83333333,
11/6/2024,18.33333333,
11/7/2024,10,
11/8/2024,10,
11/9/2024,32.08333333,
11/10/2024,22.08333333,
11/11/2024,18.75,
11/12/2024,17.5,
11/13/2024,10,
11/14/2024,10,
11/15/2024,10,
11/16/2024,12.5,
11/17/2024,25.41666667,
11/18/2024,26.66666667,
11/19/2024,22.91666667,
11/20/2024,33.625,
11/21/2024,38.75,
11/22/2024,38.33333333,
11/23/2024,26.66666667,
11/24/2024,22.5,
11/25/2024,20.41666667,
11/26/2024,22.08333333,
11/27/2024,37.5,
11/28/2024,27.91666667,
11/29/2024,20,
11/30/2024,20,
12/1/2024,20,
12/2/2024,22.5,
12/3/2024,20.83333333,
12/4/2024,23.33333333,
12/5/2024,29.16666667,
12/6/2024,27.91666667,
12/7/2024,23.75,
12/8/2024,20,
12/9/2024,25.83333333,
12/10/2024,22.91666667,
12/11/2024,20,
12/12/2024,20,
12/13/2024,20,
12/14/2024,27.5,
12/15/2024,21.66666667,
12/16/2024,26.66666667,
12/17/2024,20.83333333,
12/18/2024,20.41666667,
12/19/2024,32.5,
12/20/2024,42.08333333,
12/21/2024,27.08333333,
12/22/2024,22.5,
12/23/2024,20,
12/24/2024,20,
12/25/2024,22.91666667,
12/26/2024,20,
12/27/2024,20,
12/28/2024,15,
12/29/2024,11.25,
12/30/2024,11.66666667,
12/31/2024,10,
